Category	Score	Query_File_Name	ClassificationGroup
Somatic	-8.775301933288574	ES-SEES-6_P45.txt	10
EC	1.8612176179885864	ES-SEES-7_P45.txt	10
iPS	4.765844345092773	ES-SEES-7_P45.txt	10
ES	3.7568671703338623	ES-SEES-7_P45.txt	10
Somatic	-9.067893981933594	ES-SEES-7_P45.txt	10
EC	1.6850600242614746	ES-SIVF002_P50.txt	10
iPS	4.142983436584473	ES-SIVF002_P50.txt	10
ES	2.508206367492676	ES-SIVF002_P50.txt	10
Somatic	-7.1378045082092285	ES-SIVF002_P50.txt	10
EC	1.8428771495819092	ES-SIVF025_P35.txt	10
iPS	4.104154109954834	ES-SIVF025_P35.txt	10
ES	2.6189355850219727	ES-SIVF025_P35.txt	10
Somatic	-7.294681549072266	ES-SIVF025_P35.txt	10
EC	2.3040976524353027	ES-SIVF043_P12.txt	10
iPS	4.643501281738281	ES-SIVF043_P12.txt	10
ES	2.7401771545410156	ES-SIVF043_P12.txt	10
Somatic	-8.4002046585083	ES-SIVF043_P12.txt	10
EC	2.2506263256073	ES-SIVF044_P13.txt	10
iPS	4.191481113433838	ES-SIVF044_P13.txt	10
ES	2.581688404083252	ES-SIVF044_P13.txt	10
Somatic	-7.78861141204834	ES-SIVF044_P13.txt	10
EC	1.9356868267059326	ES-SIVF050_P9.txt	10
iPS	4.072976112365723	ES-SIVF050_P9.txt	10
ES	2.4167890548706055	ES-SIVF050_P9.txt	10
Somatic	-7.193068027496338	ES-SIVF050_P9.txt	10
EC	1.6129366159439087	ES-WA07_P35.txt	10
iPS	5.069756984710693	ES-WA07_P35.txt	10
ES	4.593520641326904	ES-WA07_P35.txt	10
Somatic	-9.915292739868164	ES-WA07_P35.txt	10
EC	1.826817274093628	ES-WA09_P39.txt	10
iPS	6.082559108734131	ES-WA09_P39.txt	10
ES	4.410582542419434	ES-WA09_P39.txt	10
Somatic	-11.016180038452148	ES-WA09_P39.txt	10
EC	1.0477827787399292	iPS-Episomal-414C2-iPS_P23.txt	10
iPS	4.368639945983887	iPS-Episomal-414C2-iPS_P23.txt	10
ES	1.7694507837295532	iPS-Episomal-414C2-iPS_P23.txt	10
Somatic	-5.925909519195557	iPS-Episomal-414C2-iPS_P23.txt	10
EC	1.7418078184127808	iPS-Episomal-Edom-iPS-1_P30.txt	10
iPS	6.426259517669678	iPS-Episomal-Edom-iPS-1_P30.txt	10
ES	4.557013511657715	iPS-Episomal-Edom-iPS-1_P30.txt	10
Somatic	-11.431386947631836	iPS-Episomal-Edom-iPS-1_P30.txt	10
EC	1.9174153804779053	iPS-Episomal-Edom-iPS-8_P30.txt	10
iPS	5.660423278808594	iPS-Episomal-Edom-iPS-8_P30.txt	10
ES	5.229532718658447	iPS-Episomal-Edom-iPS-8_P30.txt	10
Somatic	-11.459428787231445	iPS-Episomal-Edom-iPS-8_P30.txt	10
EC	2.1126863956451416	iPS-Episomal-Edom-iPS-9_P30.txt	10
